Franchise ID,names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
36,Star Trek: The Motion Picture,12/21/1979,65,"Science Fiction, Adventure, Mystery","When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.","William Shatner, Admiral James T. Kirk, Leonard Nimoy, Mr. Spock, DeForest Kelley, Dr. Leonard McCoy, Stephen Collins, Captain William Decker, Persis Khambatta, Lieutenant Ilia / The Probe, James Doohan, Montgomery Scott, George Takei, Lt. Cmdr. Hikaru Sulu, Walter Koenig, Lt. Pavel Chekov, Nichelle Nichols, Lt. Cmdr. Uhura",Star Trek: The Motion Picture, Released, English,35000000,139000000,AU
37,The Godfather,11/2/1972,87,"Drama, Crime","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Marlon Brando, Vito Corleone, Al Pacino, Michael Corleone, James Caan, Sonny Corleone, Richard S. Castellano, Peter Clemenza, Robert Duvall, Tom Hagen, Sterling Hayden, Captain McCluskey, John Marley, Jack Woltz, Richard Conte, Emilio Barzini, Diane Keaton, Kay Adams-Corleone",The Godfather, Released, English,7000000,270007394,AU
37,The Godfather Part II,2/20/1975,86,"Drama, Crime","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Al Pacino, Don Michael Corleone, Robert Duvall, Tom Hagen, Diane Keaton, Kay Corleone, Robert De Niro, Don Vito Corleone, John Cazale, Frederico 'Fredo' Corleone, Talia Shire, Constanzia 'Connie' Corleone, Lee Strasberg, Hyman Roth, Michael V. Gazzo, Frank Pentangeli, G. D. Spradlin, Senator Pat Geary",The Godfather Part II, Released, English,13000000,102600000,AU
37,The Godfather Part III,2/28/1991,74,"Crime, Drama, Thriller","In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.","Al Pacino, Michael Corleone, Diane Keaton, Kay Adams, Talia Shire, Connie Corleone Rizzi, Andy GarcÃ­a, Vincent Mancini, Eli Wallach, Don Altobello, Joe Mantegna, Joey Zasa, George Hamilton, B.J. Harrison, Bridget Fonda, Grace Hamilton, Sofia Coppola, Mary Corleone",The Godfather Part III, Released, English,54000000,136766062,AU
38,The Grudge,1/30/2020,55,"Horror, Mystery","After a young mother murders her family in her own house, a detective attempts to investigate the mysterious case, only to discover that the house is cursed by a vengeful ghost. Now targeted by the demonic spirits, the detective must do anything to protect herself and her family from harm.","Andrea Riseborough, Detective Muldoon, DemiÃ¡n Bichir, Goodman, John Cho, Peter Spencer, Lin Shaye, Faith Matheson, Jacki Weaver, Lorna Moody, Betty Gilpin, Nina Spencer, William Sadler, Detective Wilson, Frankie Faison, William Matheson, Nancy Sorel, Agent Cole",The Grudge, Released, English,10000000,187281115,AU
38,The Grudge,11/18/2004,59,"Horror, Mystery, Thriller","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.","Sarah Michelle Gellar, Karen Davis, Jason Behr, Doug McCarthy, William Mapother, Matthew Williams, Clea DuVall, Jennifer Williams, KaDee Strickland, Susan Williams, Grace Zabriskie, Emma Williams, Bill Pullman, Peter Kirk, Rosa Blasi, Maria Kirk, Ted Raimi, Alex Jones",The Grudge, Released, English,10000000,187281115,AU
38,The Grudge 2,10/13/2006,55,"Horror, Thriller","A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo, a mean high school prank goes horribly wrong, and strange things begin happening in a Chicago apartment building.","Amber Tamblyn, Aubrey Davis, Sarah Michelle Gellar, Karen Davis, Edison Chen, Eason, Arielle Kebbel, Allison Fleming, Teresa Palmer, Vanessa Cassidy, Misako Uno, Miyuki Nazawa, Matthew Knight, Jake Kimble, Sarah Roemer, Lacey Kimble, Jennifer Beals, Trish Kimble",The Grudge 2, Released, English,20000000,70743839,US
38,The Grudge 3,5/12/2009,54,"Mystery, Horror, Thriller","Jake Kimble, the sole survivor of the Chicago massacre, is killed while in solitary confinement. His doctor begins investigating the claims he made about a long-haired woman in white, as a mysterious Japanese woman arrives at his old apartment building to help them get rid of the curse.","Johanna Braddy, Lisa, Emi Ikehata, Naoko Kawamata, Jadie-Rose Hobson, Rose, Gil McKinney, Max, Beau Mirchoff, Andy, Shawnee Smith, Dr. Sullivan, Marina Sirtis, Gretchen, Matthew Knight, Jake Kimble, Aiko Horiuchi, Kayako Saeki",The Grudge 3, Released, English,5000000,38610009,US
39,The Hunger Games,3/22/2012,72,"Science Fiction, Adventure, Fantasy","Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which â€œTributesâ€ must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If sheâ€™s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.","Jennifer Lawrence, Katniss Everdeen, Josh Hutcherson, Peeta Mellark, Liam Hemsworth, Gale Hawthorne, Woody Harrelson, Haymitch Abernathy, Elizabeth Banks, Effie Trinket, Lenny Kravitz, Cinna, Stanley Tucci, Caesar Flickerman, Donald Sutherland, President Snow, Wes Bentley, Seneca Crane",The Hunger Games, Released, English,80000000,677923379,AU
39,The Hunger Games: Catching Fire,11/21/2013,74,"Adventure, Action, Science Fiction","Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.","Jennifer Lawrence, Katniss Everdeen, Josh Hutcherson, Peeta Mellark, Liam Hemsworth, Gale Hawthorne, Woody Harrelson, Haymitch Abernathy, Elizabeth Banks, Effie Trinket, Donald Sutherland, President Snow, Lenny Kravitz, Cinna, Philip Seymour Hoffman, Plutarch Heavensbee, Jeffrey Wright, Beetee",The Hunger Games: Catching Fire, Released, English,130000000,864868047,AU
